School Name,City,Website,Enrollment,Admission Rate (%),Average SAT,Average ACT,Tuition (In State),Tuition (Out of State),Published Cost (Academic Year),Average Net Price,Room & Board (On Campus),Books & Supplies,Other On-Campus Expenses,Other Off-Campus w/Family,Median Debt at Graduation,Median Earnings 10y After Entry,IPEDS ID,OPE8 ID,Data Coverage
Pillar College,Newark,www.pillar.edu/,469.0,,,,24820.0,24820.0,33662.0,,,1500.0,,,21483.0,45577.0,440794,03666300,Partial data
Raritan Valley Community College,Branchburg,https://www.raritanval.edu/,5272.0,,,,5520.0,7440.0,13039.0,,,2400.0,,,10500.0,48145.0,186645,00773100,Partial data
Rowan College at Burlington County,Mount Laurel,www.rcbc.edu/,6174.0,,,,4968.0,6936.0,11965.0,,,504.0,,,10500.0,44745.0,183877,00773000,Partial data
Rowan College of South Jersey-Cumberland Campus,Vineland,https://rcsj.edu/,2077.0,,,,4980.0,5820.0,12920.0,,,1460.0,,,12000.0,41751.0,184205,00690104,Partial data
Rowan College of South Jersey-Gloucester Campus,Sewell,rcsj.edu/,4424.0,,,,4980.0,5820.0,14302.0,,,3600.0,,,12000.0,41751.0,184791,00690100,Partial data
Salem Community College,Carneys Point,https://www.salemcc.edu/,908.0,,,,6150.0,9900.0,16706.0,,,2000.0,,,9500.0,38020.0,186469,00546100,Partial data
Seminary Bnos Chaim,Lakewood,www.seminarybnoschaim.com/,177.0,43.42,,,12600.0,12600.0,22008.0,,,300.0,,,,,491817,04271200,Partial data
Sussex County Community College,Newton,www.sussex.edu/,2055.0,,,,5544.0,9024.0,14375.0,,,1481.0,,,11000.0,44664.0,247603,02568800,Partial data
UCNJ Union College of Union County New Jersey,Cranford,https://www.ucc.edu/,7760.0,,,,5280.0,9500.0,13752.0,,,1440.0,,,15091.0,41595.0,187198,00264300,Partial data
Warren County Community College,Washington,www.warren.edu/,867.0,,,,5310.0,5910.0,10510.0,,,400.0,,,9300.0,43359.0,245625,02503900,Partial data
DeVry University-New Jersey,Iselin,https://www.devry.edu/,68.0,100.0,,,17488.0,17488.0,,,,400.0,,,24807.0,45987.0,482556,01072718,Partial data
Strayer University-New Jersey,Piscataway,www.strayer.edu/campus-locations/new-jersey/piscataway,536.0,,,,13920.0,13920.0,,,,675.0,,,40621.0,40092.0,453215,00145985,Partial data
Thomas Edison State University,Trenton,www.tesu.edu/,6685.0,,,,6638.0,8598.0,,,,1700.0,,,12500.0,69331.0,187046,02192200,Partial data
ASI Career Institute,Turnersville,www.asi.edu/,33.0,,,,,,,,,,,,,,475431,04188700,Needs data
Adult and Continuing Education-BCTS,Hackensack,www.bergen.org/site/Default.aspx?PageID=4343,54.0,,,,,,,,,,,,3608.0,49739.0,183983,02312000,Needs data
Advantage Career Institute,Eatontown,www.aci.edu/,149.0,,,,,,,,,,,,4856.0,,490896,04229100,Needs data
American Institute,Clifton,www.americaninstitute.com/,,,,,,,,,,,,,11979.0,28710.0,18409201,02106603,Needs data
American Institute of Alternative Medicine,East Brunswick,massageschoolnewjersey.com/,32.0,,,,,,,,,,,,,,487852,04234400,Needs data
American Institute of Medical Sciences & Education,Piscataway,www.aimseducation.edu/,397.0,,,,,,,,,,,,11995.0,40407.0,455202,04136400,Needs data
American Institute-Cherry Hill,Cherry Hill,https://www.americaninstitute.edu/,400.0,,,,,,,,,,,,11979.0,28710.0,497329,02106607,Needs data
American Institute-Clifton,CLIFTON,www.americaninstitute.edu/,735.0,,,,,,,,,,,,11979.0,28710.0,184092,02106601,Needs data
American Institute-Somerset,Somerset,www.americaninstitute.edu/,274.0,,,,,,,,,,,,11979.0,28710.0,490869,02106606,Needs data
American Institute-Toms River,Toms River,www.americaninstitute.edu/,463.0,,,,,,,,,,,,11979.0,28710.0,482963,02106605,Needs data
Artistic Academy of Hair Design,Morris Plains,www.artisticacademy.com/,93.0,,,,,,,,,,,,5500.0,34266.0,414063,02525900,Needs data
Bard College - BHSEC Newark,Newark,https://www.bard.edu/,,,,,,,,,,,,,24254.0,46543.0,18908808,00267116,Needs data
Best Care College,East Orange,bestcarecollege.edu/,46.0,,,,,,,,,,,,,64311.0,461865,04181400,Needs data
Beth Medrash Govoha,Lakewood,bmg.edu/,3532.0,,,,,,,,,,,,,47544.0,183804,00794700,Needs data
Burlington County Institute of Technology - Adult Education -,Medford,https://www.bcit.cc/bcitadulted,,,,,,,,,,,,,,,49664501,04285601,Needs data
Burlington County Institute of Technology-Adult Education,Westampton,www.bcit.cc/adulted,112.0,,,,,,,,,,,,,,496645,04285600,Needs data
Capital Health School of Nursing,Trenton,www.capitalhealth.org/professionals/school-of-nursing,53.0,,,,,,,,,,,,,,186423,00642900,Needs data
Capital Health School of Radiologic Technology,Trenton,www.capitalhealth.org/professionals/school-of-radiologic-technology,15.0,,,,,,,,,,,,,,186405,00642902,Needs data
Center for the Healing Arts,Voorhees,https://centerforthehealingartsnj.com/,36.0,,,,,,,,,,,,,,481447,04216500,Needs data
Christine Valmy International School of Esthetics & Cosmetology,Wayne,https://www.christinevalmy.com/,247.0,,,,,,,,,,,,5457.0,,475468,04184500,Needs data
Cutting Edge Academy,Succasunna,www.cuttingedgeacademynj.com/,94.0,,,,,,,,,,,,9500.0,,490300,04260400,Needs data
Eastern School of Acupuncture and Traditional Medicine,Bloomfield,www.esatm.edu/,8.0,,,,,,,,,,,,,48962.0,446224,03811300,Needs data
Empire Beauty School-Bloomfield,Bloomfield,www.empire.edu/,117.0,,,,,,,,,,,,13000.0,23925.0,368230,00945917,Needs data
Empire Beauty School-Cherry Hill,Cherry Hill,www.empire.edu/,125.0,,,,,,,,,,,,10667.0,24397.0,184816,00757309,Needs data
Empire Beauty School-Union,Union,www.empire.edu/,113.0,,,,,,,,,,,,13000.0,23925.0,184506,00945919,Needs data
Fortis Institute-Lawrenceville,Lawrenceville,https://fortis.edu/,305.0,,,,,,,,,,,,9500.0,36920.0,475024,02132302,Needs data
Fortis Institute-Wayne,Wayne,https://www.fortis.edu/,404.0,,,,,,,,,,,,9500.0,36920.0,183725,02132300,Needs data
Garden State Science and Technology Institute,Jersey City,https://www.gssti.edu/,576.0,,,,,,,,,,,,9403.0,,488013,04243300,Needs data
Hackensack Meridian School of Medicine,Nutley,www.hmsom.edu/en,,,,,,,,,,,,,,,495314,04293300,Needs data
Healthcare Training Institute,Union,www.htinj.edu/,103.0,75.86,,,,,,,,,,,8717.0,37571.0,446303,03803300,Needs data
